fov,corner,cornerDeviation,minDistance,maxCurvature,complexity,intersectionId
162.55598154383426,98.72200922808287,81.27799077191715,20.094514962374156,18.907607239317166,0.8566925033565251,0
162.5559815438343,98.72200922808285,81.27799077191713,13.451091477457307,25.783100780887047,1.1682170500316251,0
160.91731965590031,99.54134017204984,80.45865982795029,12.980426085054575,26.35605857601787,1.1702227285777291,0
160.91731965590057,99.54134017204971,80.45865982795016,12.980426085054575,26.35605857601787,1.1702227285777291,0
162.28401265311422,98.85799367344289,81.1420063265571,12.87745806827646,33.80450991271857,1.5265414597021554,1
162.2840126531142,98.8579936734429,81.14200632655711,12.87745806827646,22.345354010102106,1.0090697784471876,1
119.01241970794383,120.49379014602808,59.506209853971995,16.486486118199835,18.334649444186343,0.4452866406432927,1
119.01241970794399,120.493790146028,59.50620985397192,16.486486118199835,33.80450991271857,0.820997243686071,1
101.05110276450276,129.4744486177486,50.52555138225138,28.304724085600697,10.886198107485642,0.1906078719426716,2
101.05110276450276,129.4744486177486,50.52555138225138,19.208322263429867,11.459155902616466,0.20063986520281218,2
90.97363760795854,134.51318119602072,22.500000051566207,19.208322263429867,11.459155902616466,0.08043835638633644,2
